Ht,chi,gamma,direction
8.0,0.4846107140183448,1e-07,down
7.8,0.4523997008800506,1e-07,down
7.6,0.46014565601944907,1e-07,down
7.4,0.446611601859331,1e-07,down
7.2,0.63418938126415,1e-07,down
7.0,0.5855125868692993,1e-07,down
6.8,0.4320964068174361,1e-07,down
6.6,0.4245415329933166,1e-07,down
6.4,0.4056836292147636,1e-07,down
6.2,0.6329472251236438,1e-07,down
6.0,0.5955877369997323,1e-07,down
5.8,0.2909976094961166,1e-07,down
5.6,0.46153642050921906,1e-07,down
5.4,0.4862241335213184,1e-07,down
5.2,0.30724520236253733,1e-07,down
5.0,0.4108181484043597,1e-07,down
4.8,0.4779660459607839,1e-07,down
4.6,0.3733502002432942,1e-07,down
4.4,0.3877838551998138,1e-07,down
4.2,0.33597495499998326,1e-07,down
4.0,0.4088908471167087,1e-07,down
3.8,0.21488190209493038,1e-07,down
3.6,0.25979034230113024,1e-07,down
3.4,0.21576174348592755,1e-07,down
3.2,0.579937720671296,1e-07,down
3.0,0.31823100894689554,1e-07,down
2.8,0.3554265974089503,1e-07,down
2.6,0.310001628473401,1e-07,down
2.4,0.3624036721885204,1e-07,down
2.2,0.49651495786383737,1e-07,down
2.0,0.42745516076683987,1e-07,down
1.8,0.4537835952360182,1e-07,down
1.6,0.3256221711635589,1e-07,down
1.4,0.15309203229844567,1e-07,down
1.2,0.3483049422502517,1e-07,down
1.0,0.07924177125096318,1e-07,down
0.8,0.2121449783444404,1e-07,down
0.6,0.09711287613026795,1e-07,down
0.4,0.3414303986355662,1e-07,down
0.2,0.45969965495169157,1e-07,down
-0.0,0.4730544080957769,1e-07,down
-0.0,0.4730544080957769,1e-07,up
0.2,0.01837422046810388,1e-07,up
0.4,0.3039773870259523,1e-07,up
0.6,0.04779926501214503,1e-07,up
0.8,0.24590212292969224,1e-07,up
1.0,0.42257001996040333,1e-07,up
1.2,0.23558878339827055,1e-07,up
1.4,0.28066872432827944,1e-07,up
1.6,0.20215341751463708,1e-07,up
1.8,0.14047175319865343,1e-07,up
2.0,0.2350954785943031,1e-07,up
2.2,0.1701923683285713,1e-07,up
2.4,0.2183692120015621,1e-07,up
2.6,0.4761858970159664,1e-07,up
2.8,0.2653272990137338,1e-07,up
3.0,0.3678791280835866,1e-07,up
3.2,0.29622201994061464,1e-07,up
3.4,0.30572040192782873,1e-07,up
3.6,0.3308371603488922,1e-07,up
3.8,0.2596191992051899,1e-07,up
4.0,0.2239582575857639,1e-07,up
4.2,0.44427541270852083,1e-07,up
4.4,0.36462575197219843,1e-07,up
4.6,0.5826503466814755,1e-07,up
4.8,0.1574179911985993,1e-07,up
5.0,0.3496382720768451,1e-07,up
5.2,0.4925013370811938,1e-07,up
5.4,0.48785599507391436,1e-07,up
5.6,0.38645602995529765,1e-07,up
5.8,0.6159798528533428,1e-07,up
6.0,0.354009885340929,1e-07,up
6.2,0.43690682761371125,1e-07,up
6.4,0.4061926724389195,1e-07,up
6.6,0.31561263091862196,1e-07,up
6.8,0.5649804044514893,1e-07,up
7.0,0.5034442199394106,1e-07,up
7.2,0.5807163640856742,1e-07,up
7.4,0.4501701667904853,1e-07,up
7.6,0.4371304921805858,1e-07,up
7.8,0.4456324167549609,1e-07,up
8.0,0.43996357172727574,1e-07,up
8.0,0.4610377606004476,1e-07,down
7.8,0.4895241777412593,1e-07,down
7.6,0.4434797884896397,1e-07,down
7.4,0.5533026517368852,1e-07,down
7.2,0.56417971663177,1e-07,down
7.0,0.5747082931920885,1e-07,down
6.8,0.3725199997425079,1e-07,down
6.6,0.3931115195155143,1e-07,down
6.4,0.5341382902115582,1e-07,down
6.2,0.4252475444227456,1e-07,down
6.0,0.19877098500728604,1e-07,down
5.8,0.4062829744070767,1e-07,down
5.6,0.32112516369670624,1e-07,down
5.4,0.43253100430592883,1e-07,down
5.2,0.18633602559566495,1e-07,down
5.0,0.2626611217856407,1e-07,down
4.8,0.5433077816851436,1e-07,down
4.6,0.24329791869968173,1e-07,down
4.4,0.3298613019287586,1e-07,down
4.2,0.24764135479927057,1e-07,down
4.0,0.4565704902634024,1e-07,down
3.8,0.47802534699439997,1e-07,down
3.6,0.40718492493033404,1e-07,down
3.4,0.19644115120172498,1e-07,down
