i,Ht,chi
0,6.0,0.9436721988022325
1,6.0,1.1896543046459553
2,6.0,0.27448660507798195
3,6.0,0.18109239579644051
4,6.0,-0.01166204176843166
5,6.0,-0.00297364592552185
6,6.0,0.08414695411920546
7,6.0,0.06589109264314173
8,6.0,0.042010881006717675
9,6.0,0.003623176366090774
10,2.0,0.016259502619504915
11,2.0,0.21471268683671946
12,2.0,0.7232843134552239
13,2.0,0.47719950694590796
14,2.0,0.21499247848987577
15,2.0,0.2526085376739502
16,2.0,0.4081979785114526
17,2.0,0.3584329327568411
18,2.0,1.0034353332594035
19,2.0,0.21876485645771024
20,6.0,0.42528040707111353
21,6.0,0.03376280516386031
22,6.0,0.06256762146949765
23,6.0,0.34539786074310536
24,6.0,0.10741925612092017
25,6.0,0.06156417354941367
26,6.0,0.02047507837414741
27,6.0,0.010074399411678312
28,6.0,0.018096584826707836
29,6.0,0.05460854247212409
0,6.0,0.9394082166254517
1,6.0,0.44413293246179814
2,6.0,0.2958046291023492
3,6.0,0.12311192229390142
4,6.0,0.6960925944149492
5,6.0,0.64316693902947
6,6.0,0.5807845648378133
7,6.0,0.3168654218316077
8,6.0,0.6167750470340251
9,6.0,0.511268526315689
10,2.0,0.8813517689704893
11,2.0,0.5086238533258437
12,2.0,0.6916360966861248
13,2.0,0.33462557196617126
14,2.0,0.3093591313809156
15,2.0,-0.0021131988614797588
16,2.0,0.00022165849804878243
17,2.0,0.0019641332328319545
18,2.0,0.0007683858275413512
19,2.0,0.3161875940859317
20,6.0,0.18408135464414951
21,6.0,0.561359854415059
22,6.0,0.3290401399135589
23,6.0,0.31819561868906016
24,6.0,0.23749702423810956
25,6.0,0.24095347151160235
26,6.0,0.09093066677451131
27,6.0,0.2931412179023027
28,6.0,0.05881777964532374
29,6.0,0.1868159584701061
0,6.0,0.5009115617722272
1,6.0,0.3653811588883399
2,6.0,0.1003309804946184
3,6.0,0.05797943472862243
4,6.0,0.2841255338862538
5,6.0,0.043789103161543594
6,6.0,0.1773404085543006
7,6.0,0.03008273616433143
8,6.0,0.2355475712101906
9,6.0,0.19597984221763906
10,2.0,-0.4359658136963844
11,2.0,-0.44783715903758997
12,2.0,-0.3873142376542091
13,2.0,0.5185509473085402
14,2.0,0.41388475894927973
15,2.0,0.4035623967647552
16,2.0,-0.3689113184809685
17,2.0,0.4267449900507927
18,2.0,-0.3854691311717032
19,2.0,-0.3803409859538078
20,6.0,0.40624220017343754
21,6.0,0.18228280730545518
22,6.0,0.006759464740753175
23,6.0,0.05238519236445426
24,6.0,0.03679485246539115
25,6.0,0.0019912756979465485
26,6.0,0.2702395608648657
27,6.0,0.08484013937413691
28,6.0,0.05572642758488654
29,6.0,0.00671795755624771
0,6.0,0.36081586778163904
1,6.0,1.229098372161388
2,6.0,0.27844402194023127
3,6.0,0.044879555702209466
4,6.0,0.06688168644905089
5,6.0,1.0384989380836485
6,6.0,0.25757895410060877
7,6.0,0.6299995779991149
8,6.0,0.4738369286060332
9,6.0,0.7716100551187991
10,2.0,-0.1708596050739288
11,2.0,0.509067223407328
12,2.0,-0.19098321534693238
13,2.0,0.306900646071881
14,2.0,0.006586171686649321
15,2.0,-0.003219641745090484
16,2.0,-0.0022666007280349727
17,2.0,0.004568874835968017
18,2.0,0.002212591469287872
19,2.0,0.002671331167221069
20,6.0,0.30751409195363516
21,6.0,0.5673678293824195
22,6.0,0.006461992859840394
23,6.0,0.05214658379554747
24,6.0,0.04461282491683959
25,6.0,0.3250713869929313
26,6.0,0.11933539807796475
27,6.0,0.42980881035327906
28,6.0,0.13384559750556943
29,6.0,0.009380757808685303
0,6.0,0.6006743311882017
1,6.0,0.27748335152864445
2,6.0,0.028369084000587456
3,6.0,0.07460834830999373
4,6.0,0.0740801692008972
5,6.0,0.048132419586181634
6,6.0,0.24488231539726252
7,6.0,0.1704241558909416
8,6.0,0.11380884796380993
9,6.0,0.17771280929446215
10,2.0,-0.026660259813070283
11,2.0,-0.009603925049304959
12,2.0,0.6338324919342994
13,2.0,-0.20004272833466524
14,2.0,0.11845465749502179
15,2.0,0.3163264505565166
16,2.0,-0.000857032835483551
17,2.0,0.31524822115898127
18,2.0,0.005030196160078048
19,2.0,-0.008023906499147413
20,6.0,0.29661375470459456
21,6.0,0.12638061214238402
22,6.0,0.3072652025148272
23,6.0,0.09464602172374723
24,6.0,0.2258628290146589
25,6.0,0.2339458297938108
26,6.0,0.11596053093671796
27,6.0,0.32035959511995316
28,6.0,0.15482901968061918
29,6.0,0.1413088557310402
0,6.0,0.9477682001888749
1,6.0,0.4685283824801444
2,6.0,0.13994994395761748
3,6.0,0.010873337974771857
4,6.0,0.0491154845803976
5,6.0,-0.01277483161538839
6,6.0,-0.004059169907122849
7,6.0,0.34409410879015917
8,6.0,0.30357510590692977
9,6.0,0.0471477648243308
10,2.0,0.6833095904439684
11,2.0,0.7237805649638176
12,2.0,-0.0020296573638916007
13,2.0,0.006921619176864622
14,2.0,0.018009990453720086
15,2.0,0.011713802814483639
16,2.0,-0.0012989342212677
17,2.0,-0.0002567470073699952
18,2.0,0.007208138704299925
19,2.0,0.0028936564922332755
20,6.0,0.09558189287781715
21,6.0,0.35714246146380896
22,6.0,0.5646676635369657
23,6.0,0.3111027497798204
24,6.0,0.2037205575034022
25,6.0,0.08041606005281209
26,6.0,0.014361527748405932
27,6.0,0.08342145476490258
28,6.0,0.24053278379142284
29,6.0,0.02232470782473683
0,6.0,0.20823188498616213
1,6.0,0.2082829177379608
2,6.0,0.2990674898028373
3,6.0,0.33100785315036774
4,6.0,0.22700430452823636
5,6.0,0.20397688448429105
6,6.0,0.044607400894165025
7,6.0,0.25373617932200426
8,6.0,0.04548994451761245
9,6.0,0.19692287594079969
10,2.0,1.403021782636642
11,2.0,0.3289108648896217
12,2.0,0.3176851645112037
13,2.0,-0.0012283325195312493
14,2.0,0.0046427398920059195
15,2.0,0.3180974200367927
16,2.0,-0.007790183648467062
17,2.0,0.30698198452591896
18,2.0,0.00022660009562971859
19,2.0,0.3119416628032922
20,6.0,0.3761548868496902
21,6.0,0.37260435707867134
22,6.0,0.18958918191492552
23,6.0,0.43090982129797334
24,6.0,0.4333151094615459
25,6.0,0.27282702317461366
26,6.0,0.3748026825487613
27,6.0,-0.03131176158785819
28,6.0,0.06113025918602942
29,6.0,-0.00706271082162857
0,6.0,0.30604578554630274
1,6.0,0.5406069643795489
2,6.0,0.23555229604244227
3,6.0,0.14792744815349573
4,6.0,0.40797897428274144
