i,Ht,chi
6,6.0,0.4645580044016241
7,6.0,0.40710307285189623
8,6.0,0.3462432250380515
9,6.0,0.45359077258035535
10,2.0,0.4099223725497722
11,2.0,0.19362153549445787
12,2.0,0.32845889218151564
13,2.0,0.21724659204483027
14,2.0,0.1803658073768019
15,2.0,0.033666818402707556
16,2.0,-0.05392985139042139
17,2.0,-0.07239898387342691
18,2.0,0.3527491129934787
19,2.0,0.22135793790221212
20,6.0,0.2929213028401136
21,6.0,0.42031539231538767
22,6.0,0.35233303345739836
23,6.0,0.27883680770173663
24,6.0,0.2447671731933951
25,6.0,0.2628722330555319
26,6.0,0.40350489690899843
27,6.0,0.3152443096041679
28,6.0,0.3474894165992736
29,6.0,0.3305821260437369
0,6.0,0.6079721599817275
1,6.0,0.4909341959282755
2,6.0,0.5037701604887842
3,6.0,0.33528719469904894
4,6.0,0.464928364381194
5,6.0,0.46216247417032713
6,6.0,0.45984781999140967
7,6.0,0.4599717445671557
8,6.0,0.34138356661424035
9,6.0,0.35759159922599787
10,2.0,0.46445156261324877
11,2.0,0.4920369330793618
12,2.0,0.44412251189351076
13,2.0,0.32744693011045445
14,2.0,0.4640743003692477
15,2.0,0.22207454964518542
16,2.0,0.46417429286520917
17,2.0,0.21881045028567309
18,2.0,0.38084105215966696
19,2.0,0.1757332235574722
20,6.0,0.3736003823578357
21,6.0,0.46523894439451385
22,6.0,0.4266300103627144
23,6.0,0.346316834911704
24,6.0,0.46259262342937285
25,6.0,0.34838475938886393
26,6.0,0.44612084235995997
27,6.0,0.4443103652447461
28,6.0,0.3197078211233019
29,6.0,0.3124125842005014
0,6.0,0.49228842742741097
1,6.0,0.4467504695057868
2,6.0,0.4766457669902592
3,6.0,0.3627853728830814
4,6.0,0.4942247923463582
5,6.0,0.4774058191105722
6,6.0,0.4282481744885444
7,6.0,0.3895589346066117
8,6.0,0.3221086747944354
9,6.0,0.4441971238702535
10,2.0,0.3532370643224566
11,2.0,0.23585996031761164
12,2.0,0.24791109841316933
