Ht,chi,gamma,direction
6.6,0.7344234511256217,1e-07,down
6.4,0.552120730280876,1e-07,down
6.2,0.27552022039890284,1e-07,down
6.0,0.22442500153556463,1e-07,down
5.8,0.02269088476896286,1e-07,down
5.6,0.551493190228939,1e-07,down
5.4,0.878197319805622,1e-07,down
5.2,0.5449369680136441,1e-07,down
5.0,-0.0054983943700790405,1e-07,down
4.8,0.5152398645877837,1e-07,down
4.6,0.94230494776275,1e-07,down
4.4,0.017139127943664813,1e-07,down
4.2,0.2812954857945442,1e-07,down
4.0,0.3055594395846128,1e-07,down
3.8,0.3993306290358304,1e-07,down
3.6,0.31054986827075476,1e-07,down
3.4,0.009729739278554915,1e-07,down
3.2,0.016121299937367436,1e-07,down
3.0,0.29967068880796427,1e-07,down
2.8,0.0005125403404235834,1e-07,down
2.6,0.7153502516448496,1e-07,down
2.4,0.025609731674194332,1e-07,down
2.2,0.3099509179592132,1e-07,down
2.0,0.4039474427700042,1e-07,down
1.8,-0.005777925252914428,1e-07,down
1.6,0.41974593698978413,1e-07,down
1.4,-0.0011826157569885254,1e-07,down
1.2,0.39406415820121754,1e-07,down
1.0,0.32575705647468567,1e-07,down
0.8,0.7402745299041271,1e-07,down
0.6,0.4482624232769012,1e-07,down
0.4,-0.002988696098327635,1e-07,down
0.2,-0.01503452658653259,1e-07,down
-0.0,0.0014242827892303462,1e-07,down
-0.0,0.0014242827892303462,1e-07,up
0.2,0.3276237323880195,1e-07,up
0.4,0.32915064692497253,1e-07,up
0.6,0.3287146240472793,1e-07,up
0.8,0.018607825040817257,1e-07,up
1.0,0.3104892820119858,1e-07,up
1.2,0.007760882377624511,1e-07,up
1.4,0.32314041629433626,1e-07,up
1.6,0.3235159814357757,1e-07,up
1.8,0.4065160602331161,1e-07,up
2.0,0.0060709267854690534,1e-07,up
2.2,0.31415827199816704,1e-07,up
2.4,0.30511181056499476,1e-07,up
2.6,0.35129803791642183,1e-07,up
2.8,-0.00611506402492523,1e-07,up
3.0,0.33158168196678156,1e-07,up
3.2,0.2934069484472274,1e-07,up
3.4,0.28960257768630976,1e-07,up
3.6,0.44210577011108393,1e-07,up
3.8,0.61016246676445,1e-07,up
4.0,0.04488843679428099,1e-07,up
4.2,0.36489701271057123,1e-07,up
4.4,-0.008716285228729246,1e-07,up
4.6,0.006142526865005491,1e-07,up
4.8,0.031206756830215447,1e-07,up
5.0,0.0024211406707763668,1e-07,up
5.2,-0.1769680082798004,1e-07,up
5.4,0.07411798834800719,1e-07,up
5.6,0.23194183409214011,1e-07,up
5.8,0.2297185808420181,1e-07,up
6.0,-0.007219433784484862,1e-07,up
6.2,-0.011789694428443907,1e-07,up
6.4,0.4087249189615249,1e-07,up
6.6,0.13773100078105924,1e-07,up
6.8,0.29948929138481617,1e-07,up
7.0,0.29936500079929823,1e-07,up
7.2,0.2069495934993028,1e-07,up
7.4,0.2699869126081466,1e-07,up
7.6,0.3189833238720894,1e-07,up
7.8,0.2602265821769833,1e-07,up
8.0,0.36394019890576595,1e-07,up
8.0,0.23923807591199872,1e-07,down
7.8,0.2243205085396766,1e-07,down
7.6,0.3513645529747008,1e-07,down
