k,corr
10,0.9109470277349863
11,0.8482160802702893
12,0.828398576354385
13,0.8161551180274813
14,0.8080287819721432
15,0.8082320846278428
16,0.8062741455852478
17,0.808504519632673
18,0.8053320629888179
19,0.7989203488626907
20,0.8406111362715849
21,0.8854522749953692
22,0.8913611963245198
23,0.8906328617309898
24,0.8998817793088341
25,0.9045762566287328
26,0.9024342871354666
27,0.9055768854127875
28,0.9038873952222615
29,0.9060194967007336
10,0.8983337325855338
11,0.8593091122506298
12,0.8396288235450451
13,0.845459518029189
14,0.8431629999929608
15,0.8406795545093468
16,0.8345159847782512
17,0.829292091009535
18,0.8294094634828335
19,0.8240385300941755
20,0.8689156670637374
21,0.9035225586476487
22,0.9185747749261077
23,0.9212320032937795
24,0.916588511499176
25,0.9133103582044347
26,0.9098689222341017
27,0.9082509986238213
28,0.9138888301503026
29,0.91789501470588
10,0.9324323861062442
11,0.8844377107918205
12,0.8471592014014508
13,0.8338085115452005
14,0.8291321187842765
15,0.8260385062632494
16,0.8163896039420958
17,0.8063199491040536
18,0.8153285965283317
19,0.8079110704957493
20,0.8553463952987899
21,0.8915802834655215
22,0.9053881138332726
23,0.9179135059353744
24,0.9179242849603984
25,0.9249867021252532
26,0.9124998023890842
27,0.902605276553539
28,0.9011169398579234
29,0.9002578926848568
10,0.91164140907584
11,0.8770960717622511
12,0.8625168898292092
13,0.8548871006389691
14,0.8598580296364176
15,0.8581573969681745
16,0.8558757830873291
17,0.8547241921317925
18,0.8441421533831021
19,0.8345061156241387
20,0.8694758725946304
21,0.9005823538749562
22,0.9015125024948987
23,0.9116699647819821
24,0.9206500574753338
25,0.917254391094381
26,0.9106582610346245
27,0.9149671481290904
28,0.9158226924567121
29,0.9164899117428547
10,0.9183892497062889
11,0.8663826604455354
12,0.8332304720443531
13,0.8266985904485514
14,0.8231029567569779
15,0.8185964637508516
16,0.8175515773624223
17,0.8090387845114844
18,0.806904715773787
19,0.8042584209701527
20,0.8524796779889284
21,0.9065663543224713
22,0.9217006366451805
23,0.9271981708201814
24,0.9313490945960312
25,0.9315344128466545
26,0.9321389391449028
27,0.9321100931497263
28,0.9322837960178216
29,0.9342617399178537
10,0.8996406068251861
11,0.8530415783458724
12,0.8388805660069941
13,0.8324303733745758
14,0.829320018957692
15,0.8249511522140132
16,0.8228003266496607
17,0.824200395339928
18,0.8202064993789481
19,0.8220934587701958
20,0.870091526794028
21,0.9080025972622217
22,0.9113945093804887
23,0.9120248355165371
24,0.9139564413904351
25,0.913146102435074
26,0.915638011665374
27,0.9154839697506996
28,0.9132357080180743
29,0.9138094458835943
10,0.9082955121948146
11,0.860294913330271
12,0.8219265543113847
13,0.7947980041922602
14,0.7861181783626187
15,0.7876046977321008
16,0.7808342105527875
17,0.7821980295870361
18,0.77530145765936
19,0.7739332389059715
20,0.831764285336563
21,0.8822648281588892
22,0.8891683730792975
23,0.886403046011584
24,0.8925262226663753
25,0.8908322178785779
26,0.8930805559632814
27,0.89830863801931
28,0.892798400800406
29,0.8903361669115766
10,0.9200259374158655
11,0.8760110410862841
12,0.8543065406719498
13,0.851950988182819
14,0.8444801957358512
15,0.8381345957838923
16,0.8343815403926138
17,0.8319637391076984
18,0.8350423296547907
19,0.8304985165475879
20,0.8729604839998852
21,0.9176438846522409
22,0.9225371085817595
23,0.920177439223683
24,0.9247840838684874
25,0.925640548750593
26,0.9254178292028581
27,0.9341001093142225
28,0.9345327835863735
29,0.9303516840631234
10,0.9138485531221594
11,0.8722879970469698
12,0.857404777130294
13,0.8506333518568876
14,0.8444966000856905
15,0.838958387638731
16,0.8422066985441029
17,0.8444040858862877
