i,Ht,chi
0,6.0,0.5180661893682553
1,6.0,0.4618799965828656
2,6.0,0.4189490657299756
3,6.0,0.39984441921114916
4,6.0,0.37573214992880805
5,6.0,0.3544496558606624
6,6.0,0.5091316294856368
7,6.0,0.44975258223712433
8,6.0,0.38133853673934925
9,6.0,0.34775923565030087
10,3.0,0.40620578080415715
11,3.0,0.288655400276184
12,3.0,0.25321236252784723
13,3.0,0.3797667548060417
14,3.0,0.17945432662963867
15,3.0,0.36608110927045345
16,3.0,0.14996920712292192
17,3.0,0.08433063328266141
18,3.0,0.06830004602670668
19,3.0,0.08773552626371382
20,6.0,0.44203109480440606
21,6.0,0.3584840930998325
22,6.0,0.49536375328898413
23,6.0,0.5192085891030728
24,6.0,0.46851078467443574
25,6.0,0.3967496142722665
26,6.0,0.366464678198099
27,6.0,0.3797557577490806
28,6.0,0.3659389140084385
29,6.0,0.34090110100805754
0,6.0,0.4606436565518378
1,6.0,0.362667329609394
2,6.0,0.32930628955364216
3,6.0,0.335017830133438
4,6.0,0.5309950876981019
5,6.0,0.4350696466863155
6,6.0,0.4554815664887427
7,6.0,0.33102279342710966
8,6.0,0.5718889664858579
9,6.0,0.3055757712572812
10,3.0,0.6594360582530497
11,3.0,0.07483456842601297
12,3.0,-0.0210767574608326
13,3.0,0.43763072602450837
14,3.0,0.3987030433490871
15,3.0,0.3363325167447328
16,3.0,0.3638849202543497
17,3.0,0.023208680795505636
18,3.0,-0.05762727465480566
19,3.0,-0.09173791343346238
20,6.0,0.29654906969517464
21,6.0,0.49897258728742594
22,6.0,0.48978065140545357
23,6.0,0.43267554976046074
24,6.0,0.4656753651797771
25,6.0,0.46920651197433466
26,6.0,0.4515498634427785
27,6.0,0.3477496150881051
28,6.0,0.2702487409114837
29,6.0,0.2258440032601356
0,6.0,0.4903540555387734
1,6.0,0.4098490364849567
2,6.0,0.5079056005924939
3,6.0,0.4522392926737665
4,6.0,0.4457214968279003
5,6.0,0.4251377352047711
6,6.0,0.34998095408082003
7,6.0,0.41466036951169366
8,6.0,0.3079324202262796
9,6.0,0.4959124289453029
10,3.0,0.5170014183968306
11,3.0,0.33628997951745976
12,3.0,0.10236291959881781
13,3.0,0.1455285809934139
14,3.0,0.2112601678818464
15,3.0,0.22404329292476172
16,3.0,0.16534540988504884
17,3.0,0.21160016208887097
18,3.0,0.16502264840528366
19,3.0,0.29439316317439074
20,6.0,0.40870462730526913
21,6.0,0.3809922374784946
22,6.0,0.3148235864937305
23,6.0,0.1920589972287416
24,6.0,0.1573167126625776
25,6.0,0.48571402579545964
26,6.0,0.2926883473992347
27,6.0,0.4655732731334864
28,6.0,0.35290136560797686
29,6.0,0.35617500916123385
0,6.0,0.6634874916635451
1,6.0,0.527585357427597
2,6.0,0.49581108242273325
3,6.0,0.3517503701150417
4,6.0,0.4797795936465263
5,6.0,0.45365907065570343
6,6.0,0.4806974809616803
7,6.0,0.35654554888606066
8,6.0,0.46223266050219525
9,6.0,0.32261005789041514
10,3.0,0.3658257573843001
11,3.0,0.14709992893040177
12,3.0,0.7129657752811908
13,3.0,0.2283087689429521
14,3.0,0.1085087298415601
15,3.0,0.47777673229575146
16,3.0,0.37644385825842613
17,3.0,0.3435463868081569
18,3.0,0.16369399800896642
19,3.0,0.3920629238709807
20,6.0,0.46018886566162104
21,6.0,0.3357631317339837
22,6.0,0.5007152683101593
23,6.0,0.4289365531876682
24,6.0,0.323299302603118
25,6.0,0.2803295394405722
26,6.0,0.5613435339182615
27,6.0,0.35653895279392595
28,6.0,0.2579131633974611
29,6.0,0.5287253949791192
0,6.0,0.5998445339500903
1,6.0,0.46078754216432566
2,6.0,0.3838038025423884
3,6.0,0.3473546658060513
4,6.0,0.5285779860569163
5,6.0,0.41911653801798815
6,6.0,0.40449980646371836
7,6.0,0.42477951943874354
8,6.0,0.38784811273217196
9,6.0,0.5284756235778332
10,3.0,0.5905668199993669
11,3.0,0.5649027018807827
12,3.0,0.509341998025775
13,3.0,0.5087048104032873
14,3.0,0.44090675655752415
15,3.0,0.3890462024137377
16,3.0,0.07837224192917344
17,3.0,0.0669595282524824
18,3.0,0.1407428574748337
19,3.0,0.6475867088884114
20,6.0,0.5626482665538787
21,6.0,0.45964268408715714
22,6.0,0.41654542833566655
23,6.0,0.4856796506792306
24,6.0,0.3677329812198876
25,6.0,0.3164472542703151
26,6.0,0.28797061741352076
27,6.0,0.2908890917897224
28,6.0,0.27490647137165064
29,6.0,0.47544485703110684
0,6.0,0.6507570818066596
1,6.0,0.3616281170397996
2,6.0,0.6441158037632703
3,6.0,0.514595255255699
4,6.0,0.44913992099463934
5,6.0,0.4458489632233976
6,6.0,0.4469695687294006
7,6.0,0.4092264436185359
8,6.0,0.5532696377485989
9,6.0,0.36665321793407196
10,3.0,0.647713414626196
11,3.0,0.115018468350172
12,3.0,0.02335206232964991
13,3.0,0.12051593465730545
14,3.0,0.443307016044855
15,3.0,0.40071214549243445
16,3.0,0.3500956390053033
17,3.0,0.3449205616489052
18,3.0,0.35144420433789486
19,3.0,0.196954455692321
20,6.0,0.5219753552228211
21,6.0,0.4657737258821725
22,6.0,0.44023078680038447
23,6.0,0.37258260650560254
24,6.0,0.2738191150128841
25,6.0,0.27925176545977587
26,6.0,0.2678851000964641
27,6.0,0.28287490084767336
28,6.0,0.2754552140831947
29,6.0,0.28435163199901575
0,6.0,0.3511763215065002
1,6.0,0.6340155620127915
2,6.0,0.4499413892626762
3,6.0,0.3467315584421157
4,6.0,0.32008016854524607
5,6.0,0.5966796840075403
6,6.0,0.41512344591319555
7,6.0,0.3779870187863707
8,6.0,0.3479410920699592
9,6.0,0.3318201247602701
10,3.0,0.500421711243689
11,3.0,0.7000656854361295
12,3.0,0.4624603278934954
13,3.0,0.1839842572808265
14,3.0,0.06455231457948683
15,3.0,0.004349797964096057
16,3.0,0.4542172481305896
17,3.0,0.43599398620426644
18,3.0,0.41476346179842943
19,3.0,0.057540077716112116
20,6.0,0.4154758378863334
21,6.0,0.3379888087511062
22,6.0,0.43276382796466345
23,6.0,0.2904886081814765
24,6.0,0.2306136898696422
25,6.0,0.47222910448908795
26,6.0,0.35409388318657875
27,6.0,0.32276526093482966
28,6.0,0.40227563679218287
29,6.0,0.5008508060127496
0,6.0,0.7352986298501489
1,6.0,0.390411864966154
2,6.0,0.48886504024267186
3,6.0,0.4349459903314709
4,6.0,0.2433211640454828
5,6.0,0.51678853854537
6,6.0,0.34561716020107264
7,6.0,0.37794578075408924
8,6.0,0.37660758197307576
9,6.0,0.3777930359356105
10,3.0,0.28164833551272744
11,3.0,0.5351070165634154
12,3.0,0.3914939742535352
13,3.0,0.3324996773153543
14,3.0,0.18762752960901702
15,3.0,0.4413115978240966
16,3.0,0.35106298886239523
17,3.0,0.334798652678728
18,3.0,0.2494906112551689
19,3.0,0.2611681226699147
20,6.0,0.4535829783417284
21,6.0,0.41612272709608067
22,6.0,0.5064723305404185
23,6.0,0.3435123525559901
24,6.0,0.2718924675136804
25,6.0,0.47161806374788273
26,6.0,0.3583238907158374
27,6.0,0.4824558794498443
28,6.0,0.412274707108736
29,6.0,0.41504416242241854
0,6.0,0.5917925387620925
1,6.0,0.5169506557285785
2,6.0,0.3064799914136528
3,6.0,0.2905922699719667
4,6.0,0.5875399075448512
5,6.0,0.39999368041753763
6,6.0,0.4773986237123608
7,6.0,0.3647411465644836
8,6.0,0.4579905830323695
9,6.0,0.4083311413414775
10,3.0,0.605172999203205
11,3.0,0.5557583197951316
12,3.0,0.06962475192267445
13,3.0,0.523779222741723
14,3.0,0.4958706945180892
15,3.0,0.4928500483511015
16,3.0,0.03697220142930744
17,3.0,-0.04853858472779393
18,3.0,-0.0579557993914932
19,3.0,0.5332969967275857
20,6.0,0.3475452102720737
21,6.0,0.459463033825159
22,6.0,0.4569448875263333
23,6.0,0.3540490791201591
24,6.0,0.3899462074041366
25,6.0,0.49398576072417194
26,6.0,0.3498402535915375
27,6.0,0.338906554505229
28,6.0,0.4639581535011529
29,6.0,0.4689051955938338
0,6.0,0.5627082027494906
1,6.0,0.5138857699930667
2,6.0,0.45680998824536795
3,6.0,0.46785902418196196
4,6.0,0.4232221953570842
5,6.0,0.42792767286300654
6,6.0,0.4188112970441579
7,6.0,0.42592236679047335
8,6.0,0.4368587220087647
9,6.0,0.36197928711771954
10,3.0,0.7220125608146188
11,3.0,0.5901893395930528
12,3.0,0.19581145979464049
13,3.0,0.1503130346536636
14,3.0,0.09096567332744596
15,3.0,0.0051826462149619995
16,3.0,0.6270635649561881
17,3.0,0.11509097740054128
18,3.0,-0.010515667498111732
19,3.0,0.000292956829071039
20,6.0,0.3509726151823997
21,6.0,0.5251710275188087
22,6.0,0.3583850376307964
